file_name,text
bed_1.jpg,"Neat and bright bedroom, green and white leaf-patterned bedspread, two pillows."
bed_2.jpg,"Elegant bedroom with blue and white decor, wooden bed, blue bedding, dressing table."
bed_3.jpg,"Modern hotel room with two beds, white linens, orange accent pillows, work desk."
bed_4.jpg,"Minimalist bedroom with white bedding, bedside table, plant, and lamp."
bed_5.jpg,"Elegant bedroom with tufted headboard, nightstands with lamps, neutral color palette."
bed_6.jpg,"Well-lit bedroom, wooden headboard, brown bedspread, green lounge chair."
bed_7.jpg,"Symmetrical bedroom with gray bedding, white nightstands, wooden floor, abstract art."
bed_8.jpg,"Union Jack-themed bedroom with white couch, wall-mounted TV, and ceiling fan."
bed_9.jpg,"Elegant bedroom with green quilted blanket, wooden headboard, framed pictures."
bed_10.jpg,"Rustic bedroom with wooden bed, fireplace, chaise lounge, exposed wooden beams."
bed_11.jpg,"Well-decorated bedroom with white bedding, round mirror, chandelier, dark wood floor."
bed_12.jpg,"Neatly arranged bedroom with patterned bedspread, nightstands, framed picture."
bed_13.jpg,"Bright bedroom with blue walls, plaid bedspread, wooden armoire, ceiling fan."
bed_14.jpg,"Cozy bedroom with blue walls, mirrored closet, natural light, ceiling light fixture."
bed_15.jpg,"Modern bedroom with city view, white linens, pendant lights, small bedside table."
bed_16.jpg,"Cozy bedroom, rustic, stone walls, wooden bed, white linens, red pillow, patterned blanket, nightstands, lamps, rug, archway."
bed_17.jpg,"Well-furnished bedroom, wooden headboard, large bed, pillows, comforter, windows, curtains, desk, mirror, hardwood floors."
bed_18.jpg,"Bedroom, white bedding, decorative pillows, dark wood headboard, nightstand, lamp, wallpaper, gray blanket."
bed_19.jpg,"Cozy bedroom, four-poster bed, floral pattern, matching pillows, teddy bear, nightstand, lamp, vase, chair, light green walls."
bed_20.jpg,"Neatly arranged bedroom, white bedding, white headboard, bedside tables, lamps, light blue walls, framed pictures, beige carpet."
bed_21.jpg,"Luxurious bedroom, ornate furniture, tufted headboard, footboard, nightstand, lamp, dresser, mirror, chest of drawers, curtains."
bed_22.jpg,"Well-furnished bedroom, purple pillow, wooden bed, gray comforter, nightstand, lamp, dresser, chest of drawers, framed pictures."
bed_23.jpg,"Small bedroom, sports memorabilia, wood-paneled walls, single bed, green bedspread, dresser, shelf, ceiling fan, windows."
bed_24.jpg,"Bedroom, blue bedspread, wooden headboard, nightstand, lamp, books, fireplace, modern painting, shelves, recessed lighting."
bed_25.jpg,"Well-furnished bedroom, modern, rustic, large bed, wooden beams, desk, flat-screen TV, outdoor view, natural light."
bed_26.jpg,"Bedroom, light blue bedspread, colorful pillows, bedside tables, bench, ceiling fan, window, blinds, glass doors, neutral colors."
living_1.jpg,"Modern living room, grey sofa, pillows, throw blanket, side table, vases, striped rug, geometric wallpaper, natural light."
living_2.jpg,"Living room, blue accent chair, grey sofa, colorful cushions, striped rug, coffee table, framed artwork, pendant lamp, TV, dining table."
living_3.jpg,"Cozy living room, stone wall, brown sectional sofa, pillows, wooden coffee table, flowers, firewood, framed pictures, lamp."
living_4.jpg,"Living room, grey sofa, colorful pillows, round dining table, coffee table, glass cabinet, framed artwork, quotes, digital clock."
living_5.jpg,"Living room, blue leather sofas, high ceiling, recessed lighting, windows, natural light, greenery, glass coffee table, TV."
living_6.jpg,"Hotel room, modern, sofa, armchairs, coffee table, flowers, TV, carpet, window, bedroom."
living_7.jpg,"Living room, red sofa, beige cushions, red armchair, coffee table, framed artwork, ceiling lights, curtains."
living_8.jpg,"Living room, dark sectional sofa, cushions, ottoman, glass table, fireplace, TV, shelves, curtains, artwork."
living_9.jpg,"Living room, black leather sofa, beige armchairs, black ottoman, TV, fireplace, mantel, framed picture, chest of drawers."
living_10.jpg,"Living room, sectional sofa, coffee table, chandelier, large windows, natural light, side table, lamp, modern design."
living_11.jpg,"Living room, high ceiling, large windows, natural light, beige sectional sofa, coffee table, striped rug, cozy, inviting."
living_12.jpg,"Living room, cozy, flat-screen TV, white console, decorative items, black ladder shelves, white armchair, green pillows."
living_13.jpg,"Living room, high ceiling, skylights, brown leather sofa, red ottomans, piano, framed artwork, cozy, modern."
living_14.jpg,"Open-plan living, ocean view, bedroom, dining area, sofa, wooden beams, natural light, modern, classic."
living_15.jpg,"Living room, grey couch, yellow wall, colorful paintings, flat-screen TV, tiled flooring, modern design."
living_16.jpg,"Living room, modular sofa, grey and yellow, coffee table, wooden shelf, plant, natural light, bright, airy."
living_17.jpg,"Living room, black leather sofas, coffee table, bookshelf, sculptures, natural light, sleek, modern."
living_18.jpg,"Waiting room, maroon chairs, wooden cabinet, fish tank, lamp, magazines, cozy, calm."
living_19.jpg,"Living room, cozy, modern, beige sofa, colorful cushions, wooden coffee table, large window."
living_20.jpg,"Living room, modern, minimalist, white sofa, ottoman, side table, flat-screen TV, light-colored tiles, functional."
living_21.jpg,"Living room, high ceiling, large windows, beige sectional sofa, flat-screen TV, fireplace, floral artwork."
living_22.jpg,"Living room, beige ottoman, armchairs, sofa, coffee table, exposed brick, yellow curtains, blue accent wall."
living_23.jpg,"Living room, sectional sofa, coffee table, beige rug, flat-screen TV, wooden paneling, modern."
living_24.jpg,"Home theater, leather recliners, large screen, wood-paneled walls, projector, comfortable."
living_25.jpg,"Living room, modern, colorful, white sectional sofa, orange pillows, coffee table, flat-screen TV, abstract painting."
